id;route_id;sec;location_id;lat;lng;description;activity
3676;Warsaw-Changchun(North);9;Irkutsk, Irkutsk;0.000000;0.000000;Irkutsk;
3677;Warsaw-Suzhou(North);9;Irkutsk, Irkutsk;0.000000;0.000000;Irkutsk;
3678;Milan-Changchun(North);16;Irkutsk, Irkutsk;0.000000;0.000000;Irkutsk;
3679;Hamburg-Changchun(North);13;22475;0.000000;0.000000;Ulan-Ude;
3680;Malaszewicze-Suzhou(North);10;22475;0.000000;0.000000;Ulan-Ude;
3681;Warsaw-Changchun(North);10;22475;0.000000;0.000000;Ulan-Ude;
3682;Warsaw-Suzhou(North);10;22475;0.000000;0.000000;Ulan-Ude;
3683;Milan-Changchun(North);17;22475;0.000000;0.000000;Ulan-Ude;
3684;Hamburg-Changchun(North);14;22490;0.000000;0.000000;Chita;
3685;Malaszewicze-Suzhou(North);11;22490;0.000000;0.000000;Chita;
3686;Warsaw-Changchun(North);11;22490;0.000000;0.000000;Chita;
3687;Warsaw-Suzhou(North);11;22490;0.000000;0.000000;Chita;
3688;Milan-Changchun(North);18;22490;0.000000;0.000000;Chita;
3689;Hamburg-Changchun(North);11;22967;0.000000;0.000000;Nizhneudinsk;
3690;Malaszewicze-Suzhou(North);8;22967;0.000000;0.000000;Nizhneudinsk;
3691;Warsaw-Changchun(North);8;22967;0.000000;0.000000;Nizhneudinsk;
3692;Warsaw-Suzhou(North);8;22967;0.000000;0.000000;Nizhneudinsk;
3693;Milan-Changchun(North);15;22967;0.000000;0.000000;Nizhneudinsk;
3719;Hamburg-Shenyang(North);5;0;52.073400;23.603800;Terespol, Poland;
3720;Hamburg-Shenyang(North);15;0;49.630344;117.339078;Zabaykalsk, Zabaykalskiy Krai, Russia;
3721;Hamburg-Shenyang(North);17;0;49.220287;119.754410;Hulun Buir;
3722;Malaszewicze-Shenyang(North);2;0;52.073400;23.603800;Terespol, Poland;
3723;Malaszewicze-Shenyang(North);12;0;49.630344;117.339078;Zabaykalsk, Zabaykalskiy Krai, Russia;
3724;Malaszewicze-Shenyang(North);14;0;49.220287;119.754410;Hulun Buir;
3725;Warsaw-Shenyang(North);2;0;52.073400;23.603800;Terespol, Poland;
3726;Warsaw-Shenyang(North);12;0;49.630344;117.339078;Zabaykalsk, Zabaykalskiy Krai, Russia;
3727;Warsaw-Shenyang(North);14;0;49.220287;119.754410;Hulun Buir;
3728;Milan-Shenyang(North);9;0;52.073400;23.603800;Terespol, Poland;
3729;Milan-Shenyang(North);19;0;49.630344;117.339078;Zabaykalsk, Zabaykalskiy Krai, Russia;
3730;Milan-Shenyang(North);21;0;49.220287;119.754410;Hulun Buir;
3731;Milan-Suzhou(North);9;0;52.073400;23.603800;Terespol, Poland;
3732;Milan-Suzhou(North);19;0;49.630344;117.339078;Zabaykalsk, Zabaykalskiy Krai, Russia;
3733;Milan-Suzhou(North);21;0;49.220287;119.754410;Hulun Buir;
3734;Hamburg-Shenyang(North);7;Moscow, Moscow;0.000000;0.000000;Moscow;
3735;Malaszewicze-Shenyang(North);4;Moscow, Moscow;0.000000;0.000000;Moscow;
3736;Warsaw-Shenyang(North);4;Moscow, Moscow;0.000000;0.000000;Moscow;
3737;Milan-Shenyang(North);11;Moscow, Moscow;0.000000;0.000000;Moscow;
3738;Milan-Suzhou(North);11;Moscow, Moscow;0.000000;0.000000;Moscow;
3739;Hamburg-Shenyang(North);9;Novosibirsk, Novosibirsk;0.000000;0.000000;Novosibirsk;
3740;Malaszewicze-Shenyang(North);6;Novosibirsk, Novosibirsk;0.000000;0.000000;Novosibirsk;
3741;Warsaw-Shenyang(North);6;Novosibirsk, Novosibirsk;0.000000;0.000000;Novosibirsk;
3742;Milan-Shenyang(North);13;Novosibirsk, Novosibirsk;0.000000;0.000000;Novosibirsk;
3743;Milan-Suzhou(North);13;Novosibirsk, Novosibirsk;0.000000;0.000000;Novosibirsk;
3744;Milan-Suzhou(North);29;Suzhou, Jiangsu;0.000000;0.000000;Suzhou;D
3745;Hamburg-Shenyang(North);6;Brest, Brest;0.000000;0.000000;Brest;
3746;Malaszewicze-Shenyang(North);3;Brest, Brest;0.000000;0.000000;Brest;
3747;Warsaw-Shenyang(North);3;Brest, Brest;0.000000;0.000000;Brest;
3748;Milan-Shenyang(North);10;Brest, Brest;0.000000;0.000000;Brest;
3749;Milan-Suzhou(North);10;Brest, Brest;0.000000;0.000000;Brest;
3750;Hamburg-Shenyang(North);4;Warsaw, Mazovia;0.000000;0.000000;Warsaw;
3751;Warsaw-Shenyang(North);1;Warsaw, Mazovia;0.000000;0.000000;Warsaw;P
3752;Milan-Shenyang(North);8;Warsaw, Mazovia;0.000000;0.000000;Warsaw;
3753;Milan-Suzhou(North);8;Warsaw, Mazovia;0.000000;0.000000;Warsaw;
3754;Hamburg-Shenyang(North);3;Poznan, Greater Poland;0.000000;0.000000;Poznan;
3755;Milan-Shenyang(North);7;Poznan, Greater Poland;0.000000;0.000000;Poznan;
3756;Milan-Suzhou(North);7;Poznan, Greater Poland;0.000000;0.000000;Poznan;
3757;Hamburg-Shenyang(North);1;Hamburg, Hamburg;0.000000;0.000000;Hamburg;P
3758;Malaszewicze-Shenyang(North);1;Malaszewicze, Lublin;0.000000;0.000000;Malaszewicze, Poland;P
3759;Hamburg-Shenyang(North);2;77;0.000000;0.000000;Berlin;
3760;Milan-Shenyang(North);6;77;0.000000;0.000000;Berlin;
3761;Milan-Suzhou(North);6;77;0.000000;0.000000;Berlin;
3762;Milan-Suzhou(North);28;Nanjing, Jiangsu;0.000000;0.000000;Nanjing;
3763;Hamburg-Shenyang(North);20;Shenyang, Liaoning;0.000000;0.000000;Shenyang;D
3764;Malaszewicze-Shenyang(North);17;Shenyang, Liaoning;0.000000;0.000000;Shenyang;D
3765;Warsaw-Shenyang(North);17;Shenyang, Liaoning;0.000000;0.000000;Shenyang;D
3766;Milan-Shenyang(North);24;Shenyang, Liaoning;0.000000;0.000000;Shenyang;D
3767;Milan-Suzhou(North);24;Shenyang, Liaoning;0.000000;0.000000;Shenyang;
3768;Hamburg-Shenyang(North);18;Harbin, Heilongjiang;0.000000;0.000000;Harbin;
3769;Malaszewicze-Shenyang(North);15;Harbin, Heilongjiang;0.000000;0.000000;Harbin;
3770;Warsaw-Shenyang(North);15;Harbin, Heilongjiang;0.000000;0.000000;Harbin;
3771;Milan-Shenyang(North);22;Harbin, Heilongjiang;0.000000;0.000000;Harbin;
3772;Milan-Suzhou(North);22;Harbin, Heilongjiang;0.000000;0.000000;Harbin;
3773;Milan-Suzhou(North);27;16621;0.000000;0.000000;Taian;
3774;Hamburg-Shenyang(North);19;Changchun, Jilin;0.000000;0.000000;Changchun;
3775;Malaszewicze-Shenyang(North);16;Changchun, Jilin;0.000000;0.000000;Changchun;
3776;Warsaw-Shenyang(North);16;Changchun, Jilin;0.000000;0.000000;Changchun;
3777;Milan-Shenyang(North);23;Changchun, Jilin;0.000000;0.000000;Changchun;
3778;Milan-Suzhou(North);23;Changchun, Jilin;0.000000;0.000000;Changchun;
3779;Milan-Suzhou(North);25;16632;0.000000;0.000000;Tangshan;
3780;Milan-Suzhou(North);26;16716;0.000000;0.000000;Cangzhou;
3781;Hamburg-Shenyang(North);16;Manzhouli, Inner Mongolia;0.000000;0.000000;Manzhouli;
3782;Malaszewicze-Shenyang(North);13;Manzhouli, Inner Mongolia;0.000000;0.000000;Manzhouli;
3783;Warsaw-Shenyang(North);13;Manzhouli, Inner Mongolia;0.000000;0.000000;Manzhouli;
3784;Milan-Shenyang(North);20;Manzhouli, Inner Mongolia;0.000000;0.000000;Manzhouli;
3785;Milan-Suzhou(North);20;Manzhouli, Inner Mongolia;0.000000;0.000000;Manzhouli;
3786;Milan-Shenyang(North);3;Munich, Bavaria;0.000000;0.000000;Munich;
3787;Milan-Suzhou(North);3;Munich, Bavaria;0.000000;0.000000;Munich;
3788;Milan-Shenyang(North);4;Nuremberg, Bavaria;0.000000;0.000000;Nuremberg;
3789;Milan-Suzhou(North);4;Nuremberg, Bavaria;0.000000;0.000000;Nuremberg;
3790;Milan-Shenyang(North);5;17533;0.000000;0.000000;Erfurt;
3791;Milan-Suzhou(North);5;17533;0.000000;0.000000;Erfurt;
3792;Milan-Shenyang(North);1;Milan, Lombardy;0.000000;0.000000;Milan;P
3793;Milan-Suzhou(North);1;Milan, Lombardy;0.000000;0.000000;Milan;P
3794;Milan-Shenyang(North);2;20843;0.000000;0.000000;Bolzano;
